"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","Y"
634995,0,463,"Source1",0,806,11.2910447761194,1,70.4951384612417,0,806,7.57462686567164,0,69.435826365571,0,76,2.6044776119403,0,8.50550186882253,0,806,10.6492537313433,1,70.2547876376425,-69,806,4.97014925373134,0,69.8505804309806,1,0,1,1,-1,165,2,24,"Friday",0
3995273,0,297147,"Source4",43,2007,603.141025641026,494.5,424.681501301465,1,1345,252.897435897436,133.5,293.772875366528,0,1605,226.846153846154,75.5,345.690541800518,38,1771,564.576923076923,473.5,382.314326285114,-1364,1345,26.0512820512821,-50.5,481.588873962011,474,143,331,459,-188,14,324,24,"Saturday",31
3995273,0,297147,"Source4",43,2007,603.141025641026,494.5,424.681501301465,1,1345,252.897435897436,133.5,293.772875366528,0,1605,226.846153846154,75.5,345.690541800518,38,1771,564.576923076923,473.5,382.314326285114,-1364,1345,26.0512820512821,-50.5,481.588873962011,1033,285,748,943,-463,20,153,24,"Monday",55
3995273,0,297147,"Source4",43,2007,603.141025641026,494.5,424.681501301465,1,1345,252.897435897436,133.5,293.772875366528,0,1605,226.846153846154,75.5,345.690541800518,38,1771,564.576923076923,473.5,382.314326285114,-1364,1345,26.0512820512821,-50.5,481.588873962011,1521,536,985,1437,-449,28,506,24,"Friday",161
3995273,0,297147,"Source4",43,2007,603.141025641026,494.5,424.681501301465,1,1345,252.897435897436,133.5,293.772875366528,0,1605,226.846153846154,75.5,345.690541800518,38,1771,564.576923076923,473.5,382.314326285114,-1364,1345,26.0512820512821,-50.5,481.588873962011,271,2,50,259,-48,53,105,24,"Saturday",3
3995273,0,297147,"Source4",43,2007,603.141025641026,494.5,424.681501301465,1,1345,252.897435897436,133.5,293.772875366528,0,1605,226.846153846154,75.5,345.690541800518,38,1771,564.576923076923,473.5,382.314326285114,-1364,1345,26.0512820512821,-50.5,481.588873962011,518,518,0,518,518,15,218,24,"Wednesday",156
798622,0,34668,"Source5",0,1227,86.256,7,182.649561904758,0,739,45.256,3,125.900780235867,0,488,20.8,0,66.7819137192099,0,1181,81.608,6,172.750312115492,-228,604,24.456,0,122.036224392596,9,9,0,9,9,46,154,24,"Saturday",2
798622,0,34668,"Source5",0,1227,86.256,7,182.649561904758,0,739,45.256,3,125.900780235867,0,488,20.8,0,66.7819137192099,0,1181,81.608,6,172.750312115492,-228,604,24.456,0,122.036224392596,1227,739,488,1181,251,23,42,24,"Monday",223
257132,0,488,"Source8",0,44,9.58333333333333,2,13.8411122706555,0,10,1.16666666666667,0,2.7938424357067,0,34,4.5,1.5,9.09670269933013,0,41,8.66666666666667,2,12.6249312429371,-24,1,-3.33333333333333,-1,6.53622385037586,2,0,2,2,-2,0,2,24,"Friday",0
1552629,0,64641,"Source9",0,910,159.701923076923,125,153.676162996168,0,621,62.2067307692308,18.5,98.0082931777705,0,742,59.2115384615385,23,93.1733984276425,0,864,150.081730769231,114,145.524839450193,-644,621,2.99519230769231,-15,132.463220497534,387,387,0,387,387,391,65,24,"Friday",66
1552629,0,64641,"Source9",0,910,159.701923076923,125,153.676162996168,0,621,62.2067307692308,18.5,98.0082931777705,0,742,59.2115384615385,23,93.1733984276425,0,864,150.081730769231,114,145.524839450193,-644,621,2.99519230769231,-15,132.463220497534,73,10,63,63,-53,278,15,24,"Wednesday",0
1552629,0,64641,"Source9",0,910,159.701923076923,125,153.676162996168,0,621,62.2067307692308,18.5,98.0082931777705,0,742,59.2115384615385,23,93.1733984276425,0,864,150.081730769231,114,145.524839450193,-644,621,2.99519230769231,-15,132.463220497534,489,10,53,452,-43,1654,423,24,"Monday",3
1552629,0,64641,"Source9",0,910,159.701923076923,125,153.676162996168,0,621,62.2067307692308,18.5,98.0082931777705,0,742,59.2115384615385,23,93.1733984276425,0,864,150.081730769231,114,145.524839450193,-644,621,2.99519230769231,-15,132.463220497534,119,119,0,119,119,639,119,24,"Sunday",18
1552629,0,64641,"Source9",0,910,159.701923076923,125,153.676162996168,0,621,62.2067307692308,18.5,98.0082931777705,0,742,59.2115384615385,23,93.1733984276425,0,864,150.081730769231,114,145.524839450193,-644,621,2.99519230769231,-15,132.463220497534,52,52,0,52,52,50,147,24,"Thursday",10
1552629,0,64641,"Source9",0,910,159.701923076923,125,153.676162996168,0,621,62.2067307692308,18.5,98.0082931777705,0,742,59.2115384615385,23,93.1733984276425,0,864,150.081730769231,114,145.524839450193,-644,621,2.99519230769231,-15,132.463220497534,621,621,0,621,621,513,354,24,"Wednesday",63
1552629,0,64641,"Source9",0,910,159.701923076923,125,153.676162996168,0,621,62.2067307692308,18.5,98.0082931777705,0,742,59.2115384615385,23,93.1733984276425,0,864,150.081730769231,114,145.524839450193,-644,621,2.99519230769231,-15,132.463220497534,206,28,178,200,-150,90,97,24,"Wednesday",7
1552629,0,64641,"Source9",0,910,159.701923076923,125,153.676162996168,0,621,62.2067307692308,18.5,98.0082931777705,0,742,59.2115384615385,23,93.1733984276425,0,864,150.081730769231,114,145.524839450193,-644,621,2.99519230769231,-15,132.463220497534,335,335,0,335,335,96,80,24,"Monday",98
400487,0,57833,"Source13",1,284,24.9716981132075,16.5,36.1123659234356,0,284,12.2641509433962,3,33.2558129084771,0,94,9.13207547169811,3,14.6320116052765,1,284,23.622641509434,15,35.1869542801447,-84,284,3.13207547169811,-2,37.5668148095856,66,15,51,56,-36,86,213,24,"Wednesday",5
400487,0,57833,"Source13",1,284,24.9716981132075,16.5,36.1123659234356,0,284,12.2641509433962,3,33.2558129084771,0,94,9.13207547169811,3,14.6320116052765,1,284,23.622641509434,15,35.1869542801447,-84,284,3.13207547169811,-2,37.5668148095856,39,39,0,39,39,84,183,24,"Monday",7
400487,0,57833,"Source13",1,284,24.9716981132075,16.5,36.1123659234356,0,284,12.2641509433962,3,33.2558129084771,0,94,9.13207547169811,3,14.6320116052765,1,284,23.622641509434,15,35.1869542801447,-84,284,3.13207547169811,-2,37.5668148095856,17,1,7,14,-6,167,18,24,"Wednesday",0
400487,0,57833,"Source13",1,284,24.9716981132075,16.5,36.1123659234356,0,284,12.2641509433962,3,33.2558129084771,0,94,9.13207547169811,3,14.6320116052765,1,284,23.622641509434,15,35.1869542801447,-84,284,3.13207547169811,-2,37.5668148095856,94,15,79,89,-64,155,757,24,"Thursday",4
400487,0,57833,"Source13",1,284,24.9716981132075,16.5,36.1123659234356,0,284,12.2641509433962,3,33.2558129084771,0,94,9.13207547169811,3,14.6320116052765,1,284,23.622641509434,15,35.1869542801447,-84,284,3.13207547169811,-2,37.5668148095856,21,1,20,20,-19,45,1,19,"Tuesday",0
162624443,0,1242488,"Source1",0,299,85.3333333333333,48.5,99.6203905946078,0,121,29.5,16,41.4839326326069,0,125,34,20.5,42.1070065428546,0,92,37.6666666666667,34,29.584154918169,-16,11,-4.5,-5.5,8.57807282163851,64,14,30,43,-16,154,133,24,"Monday",17
162624443,0,1242488,"Source1",0,299,85.3333333333333,48.5,99.6203905946078,0,121,29.5,16,41.4839326326069,0,125,34,20.5,42.1070065428546,0,92,37.6666666666667,34,29.584154918169,-16,11,-4.5,-5.5,8.57807282163851,89,18,29,51,-11,94,99,24,"Friday",7
530,0,0,"Source16",0,11,1.6,1,2.54558441227157,0,4,0.68,0,1.15654658358408,0,6,0.6,0,1.54919333848297,0,7,1.24,0,1.86075253593808,-4,4,0.08,0,1.62283702200806,1,1,0,1,1,157,1,24,"Friday",0
530,0,0,"Source16",0,11,1.6,1,2.54558441227157,0,4,0.68,0,1.15654658358408,0,6,0.6,0,1.54919333848297,0,7,1.24,0,1.86075253593808,-4,4,0.08,0,1.62283702200806,0,0,0,0,0,261,4,24,"Thursday",0
88359,3,42,"Source17",0,4,0.745762711864407,0,1.03487034050669,0,3,0.338983050847458,0,0.727432668944913,0,3,0.271186440677966,0,0.605917387515915,0,3,0.694915254237288,0,0.943384410174627,-3,2,0.0677966101694915,0,0.936354394368348,1,1,0,1,1,120,2,24,"Friday",0
